internship_id,company_name,sector,location,state,required_skills,qualification_required,capacity,stipend,duration_months
I0001,LIC,Finance,Indore,Madhya Pradesh,"data-analysis,agriculture",BA,22,5000,10
I0002,Petronet LNG,Energy,Ahmedabad,Gujarat,"supply-chain,leadership,sql",MCA,17,5000,11
I0003,DRDO Labs,Manufacturing,Kolkata,West Bengal,"electrical,supply-chain,civil,critical-thinking,excel",B.Tech,18,5000,12
I0004,Extramarks,Education,Noida,Uttar Pradesh,"leadership,python",BSc,11,5000,11
I0005,Happiest Minds,IT,Coimbatore,Tamil Nadu,"project-management,civil",B.Tech,6,5000,10
I0006,TVS Motor,Manufacturing,Delhi,Delhi,"leadership,communication,electrical,digital-marketing,project-management",B.Tech,14,5000,12
I0007,Mphasis,IT,Guwahati,Assam,"communication,teamwork",BBA,13,5000,10
I0008,Freshworks,IT,Kolkata,West Bengal,"data-analysis,communication,java,project-management,leadership",B.Com,13,5000,10
I0009,Oil India,Energy,Gurgaon,Haryana,"mechanical,data-analysis,project-management,c++",Any,11,5000,10
I0010,Johnson & Johnson India,Healthcare,Coimbatore,Tamil Nadu,"healthcare,research,data-analysis,javascript,marketing",BBA,12,5000,10
I0011,CESC,Energy,Kolkata,West Bengal,"data-analysis,electrical",B.Tech,9,5000,12
I0012,Freshworks,IT,Kanpur,Uttar Pradesh,"data-analysis,leadership",Any,7,5000,10
I0013,CESC,Energy,Mumbai,Maharashtra,"project-management,cad",MBA,9,5000,10
I0014,Philips Healthcare India,Healthcare,Bhubaneswar,Odisha,"communication,machine-learning",B.Tech,9,5000,12
I0015,Rallis,Agriculture,Indore,Madhya Pradesh,"project-management,data-analysis,digital-marketing,finance",MBA,11,5000,12
I0016,Hexaware,IT,Pune,Maharashtra,"teamwork,project-management,civil,data-analysis",BBA,5,5000,10
I0017,Max Healthcare,Healthcare,Faridabad,Haryana,"excel,agriculture",BSc,9,5000,12
I0018,Policybazaar,Finance,Raipur,Chhattisgarh,"data-analysis,critical-thinking,problem-solving,communication,finance",B.Tech,5,5000,12
I0019,HCLTech,IT,Delhi,Delhi,"python,teaching",BSc,5,5000,12
I0020,Tata Capital,Finance,Noida,Uttar Pradesh,"finance,civil",B.Tech,23,5000,12
I0021,Amul,Agriculture,Chennai,Tamil Nadu,"data-analysis,agriculture",B.Tech,7,5000,12
I0022,Rallis,Agriculture,Gurgaon,Haryana,"agriculture,teamwork",B.Com,6,5000,12
I0023,Muthoot Finance,Finance,Kolkata,West Bengal,"leadership,mechanical",B.Tech,8,5000,12
I0024,Cyient,IT,Delhi,Delhi,"java,project-management,mechanical,digital-marketing",Any,18,5000,10
I0025,Aptech,Education,Mumbai,Maharashtra,"project-management,communication,graphic-design,finance",B.Com,6,5000,11
I0026,Accenture India,IT,Kochi,Kerala,"problem-solving,teamwork,electrical,graphic-design",B.Tech,23,5000,12
I0027,Reliance Industries,Manufacturing,Delhi,Delhi,"supply-chain,research",B.Tech,9,5000,10
I0028,HCLTech,IT,Pune,Maharashtra,"critical-thinking,mechanical",MBA,15,5000,11
I0029,Larsen & Toubro Infotech,IT,Coimbatore,Tamil Nadu,"sql,java,problem-solving,civil",Any,14,5000,11
I0030,Mahindra Agri,Agriculture,Ahmedabad,Gujarat,"problem-solving,communication,leadership,civil",MBA,25,5000,12
I0031,Hexaware,IT,Gurgaon,Haryana,"critical-thinking,communication,problem-solving,supply-chain,healthcare",B.Tech,15,5000,11
I0032,Bharat Petroleum,Energy,Coimbatore,Tamil Nadu,"communication,javascript",B.Tech,25,5000,12
I0033,KPIT Technologies,IT,Jammu,Jammu and Kashmir,"critical-thinking,communication,data-analysis,teaching",MCA,9,5000,12
I0034,Infosys,IT,Hyderabad,Telangana,"data-analysis,problem-solving",Any,22,5000,12
I0035,Petronet LNG,Energy,Lucknow,Uttar Pradesh,"project-management,problem-solving,electrical,healthcare,content-writing",BA,6,5000,11
I0036,Zoho,IT,Noida,Uttar Pradesh,"project-management,critical-thinking,communication,healthcare,problem-solving",BBA,16,5000,12
I0037,Tata Power,Energy,Hyderabad,Telangana,"problem-solving,project-management,teaching",Any,7,5000,11
I0038,Siemens India,Manufacturing,Noida,Uttar Pradesh,"electrical,problem-solving,finance",B.Tech,20,5000,10
I0039,Advanta Seeds,Agriculture,Gangtok,Sikkim,"supply-chain,agriculture,research,finance,leadership",Any,23,5000,12
